[2025-05-15 19:38:13] [info] Загружено [36m1[0m задач в память
[2025-05-15 19:38:13] [info] Сброс выполняющихся и ошибочных задач в статус Pending...
[2025-05-15 19:38:13] [info] Сброшено [33m1[0m задач.
[2025-05-15 19:38:13] [info] Загружено [36m300[0m прокси в память
[2025-05-15 19:38:13] [info] Загружено [36m800[0m аккаунтов в память
[2025-05-15 19:39:27] [info] Twitch service иницилизирован для assstronavt
[2025-05-15 19:39:27] [info] Запускается Twitch-сервис для задачи 1 (URL: https://www.twitch.tv/assstronavt)
[2025-05-15 19:39:27] [info] Проверка онлайна стрима [36massstronavt[0m
[2025-05-15 19:39:30] [info] [TWITCH isStreamLive] stream [36massstronavt[0m - [32mOnline[0m
[2025-05-15 19:39:30] [info] Стрим https://www.twitch.tv/assstronavt в эфире. Начинаем выполнение задачи 1.
[2025-05-15 19:39:30] [info] [TWITCH] Запуск 50 ботов в течение 00:01:00 времени
[2025-05-15 19:39:30] [info] [TWITCH] Получено прокси: 50
[2025-05-15 19:39:31] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@188.130.187.173:1051
[2025-05-15 19:39:33] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@188.130.137.220:1051
[2025-05-15 19:39:35] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.142.108:1051
[2025-05-15 19:39:37] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.15.73.131:1051
[2025-05-15 19:39:40] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.81.137.14:1051
[2025-05-15 19:39:42] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@2.59.50.55:1051
[2025-05-15 19:39:44] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.57.126:1051
[2025-05-15 19:39:52] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.143.238:1051
[2025-05-15 19:39:55] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.11.20.111:1051
[2025-05-15 19:39:57] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.56.211:1051
[2025-05-15 19:39:59] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.16.254:1051
[2025-05-15 19:40:01] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.22.108:1051
[2025-05-15 19:40:02] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@95.182.124.145:1051
[2025-05-15 19:40:06] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.57.96:1051
[2025-05-15 19:40:10] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.213.100:1051
[2025-05-15 19:40:12] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@194.34.248.5:1051
[2025-05-15 19:40:14] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@188.130.186.88:1051
[2025-05-15 19:40:16] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.15.73.177:1051
[2025-05-15 19:40:19] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@188.130.143.136:1051
[2025-05-15 19:40:21] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.49.75:1051
[2025-05-15 19:40:24] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.86.1.166:1051
[2025-05-15 19:40:26] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@188.130.189.81:1051
[2025-05-15 19:40:30] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.193.212:1051
[2025-05-15 19:40:33] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.11.20.219:1051
[2025-05-15 19:40:35] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.14.223:1051
[2025-05-15 19:40:37] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.22.20:1051
[2025-05-15 19:40:39] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.86.0.54:1051
[2025-05-15 19:40:43] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.204.204:1051
[2025-05-15 19:40:46] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@185.181.244.150:1051
[2025-05-15 19:40:51] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.167.7:1051
[2025-05-15 19:40:53] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.15.73.213:1051
[2025-05-15 19:40:55] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@194.35.113.21:1051
[2025-05-15 19:40:57] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.15.90:1051
[2025-05-15 19:40:58] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.10.65:1051
[2025-05-15 19:41:00] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@194.35.113.140:1051
